"こどものけんかのとき、やめなさい！ ３もじ","Cut it out!","Knock it off!","Stop it!"
"この日はあけておいて！","Keep this date free!","Save the date!",""
"家計が大変です。","The household budget is tough.","Money is tight.",""
"あなたのｐｃ使ってもいい？相手に迷惑かけるかもしれないときの質問","Do you mind if I use your laptop?","",""
"彼は、彼女がいないところで、彼女がバカだと言った。","He said she was stupid behind her back.","",""
"彼が現れるか見てみましょう。","Let's see if he shows up.","",""
"家を解体しました。","My house was demolished.","",""
"あなたは弁護士をつれてきて無実を証明しなければならなくなるだろう。","You'll have to bring in a lawyer to prove your innocence.","",""
"反省しなさい。食事に気を付けています。","Think about what you did. I am watching what I eat.","",""
"同じく！を２つ。","Same here.","Ditto.",""
"重要とかじゃない、必須です。","It's not just important, it's essential.","",""
"この辺にお住まいですか","Are you from around here?","Do you live around here?",""
"くつのかかとがすりへってる。(衣類などが使い古されている)","The heels of my shoes are worn out.","",""
"耳栓","ear plugs","",""
"あいまいにいわず、明確な答えを頂戴","Stop beating around the bush, give me a straight answer.","Stop talking around it, give me a straight answer.",""
"圧倒された","I was overwhelmed.","",""
"ながれだまをくらった。　野良犬　捨て猫","I caught a stray.","stray dog, abandoned cat",""
"大至急！","On the double!","ASAP!",""
"もう少しバックして、停車してそしてクラクションをならして。","Please back up your car a little more, pull over, and honk the horn.","",""
"二日酔いですか？","Do you have a hangover?","Are you hungover?",""
"コーヒー飲みながら話そう","Let's talk over coffee.","",""
"がんばってきた甲斐がありました","All my hard work paid off.","",""
"口論のあと、みゆきは結局泣いてしまった。","After the argument with me, Miyuki ended up crying.","",""
"それは危険信号だね","It is a red flag.","That's a red flag.",""
"彼女は最高のソフトクリームを作ります","She makes the best soft serve.","",""
"だれもわるくない","It's nobody's fault.","No one is to blame.",""
"軽井沢は東京より５度低い。これはあれより５０ドル安い。それは５倍高い。","Karuizawa is 5 degrees cooler than Tokyo. This is $50 cheaper than that. It is 5 times more expensive.","",""
"今のは、うけねらいでわざところんだでしょ？笑わずにいられない","Just now, you fell down on purpose to make people laugh, didn't you? I couldn't stop laughing.","",""
"辞書で(言葉の)意味をしらべる","look up the word in the dictionary","",""
"歩いてすぐです","It's a short walk.","It's within walking distance.",""
"私たちが男性か女性かは関係ない","It doesn't matter if we are male or female.","",""
"晩飯なに？","What's for dinner?","",""
"もしもお金持ちなら、お金何に使う？","Let's say you were super-rich, what would you spend your money on?","",""
"ぶっつけ本番でやる。臨機応変にやる","wing it","play it by ear",""
"この情報は極秘にしてください。彼の言葉を冗談と受け取った","Please keep this information confidential.","I took his words as a joke.",""
"夜明けがみたい","I want to see the dawn.","I want to see the sunrise.",""
"熱中症に気を付けて！","Be careful of heat stroke.","Watch out for heat stroke.",""
"20代のころは、いわゆるオタクでした。","In my 20s, I was what we call a nerd.","",""
"変圧器もってたらかして？","Can I borrow a transformer, if you have one?","",""
"肩と首がこってる","I have stiff shoulders and a stiff neck.","",""
"妻は相変わらず美しい","My wife is as beautiful as always.","My wife is as beautiful as ever.",""
"彼は仕事するときいつでも優越感を感じています。だからいつも他人をみくだしています。","He always feels superior whenever he works. So he always looks down on others.","",""
"こんにゃくは栄養があるのですか？","Is there any nutrition in konnyaku?","",""
"道路は雪で凍っています","The streets are frozen due to snow.","",""
"授乳室","nursing room","",""
"いくつ目(の駅)ですか？","How many stops is it?","",""
"起きてる？","Are you up?","Are you awake?",""
"彼女を夕食に連れていきました","I took her out for dinner.","",""
"何とかしてあげよう。","I will see what I can do for you.","Let me see what I can do.",""
"率直に意見を交換した。","We exchanged our opinions frankly.","",""
"誰がそう言ったの？","Who said that?","",""
"ご自由にどうぞ　食べ物など","Please help yourself.","",""
"この筆跡に見覚えがあります。","This handwriting looks familiar to me.","",""
"腰が痛い、主語を人と腰でそれぞれ。","My back hurts.","I have a backache.",""
"chatgptは私の仕事をより効率にしてくれる","ChatGPT enables me to work efficiently.","ChatGPT makes my work more efficient.",""
"具体的を２つ","specific","concrete",""
"まぐれです。2つ表現","It was a fluke.","I got lucky.",""
"私は、正確な費用がわからない。だいたいのコストが知りたい","I don't know the exact cost.","I'd like to know the approximate cost.",""
"悪い予感がする","I have a bad feeling about this.","",""
"もし成功したら業界初です。","If we succeed, it'll be an industry first.","",""
"俺はテストに自信がある。あなたがテストに受かった自信がある。人前で話す自信がある。","I am confident in the exam. I am confident that you would pass the exam. I am confident of speaking in public.","",""
"私は定期的にサウナに行きます","I go to the sauna regularly.","",""
"妻は僕が留学するよう説得した","My wife persuaded me to study abroad.","",""
"そちらの天気はどうですか？","How's the weather over there?","",""
"要点を言ってください。","Get to the point.","Cut to the chase.",""
"まぎらわしいですね。(付加疑問で)","That's confusing, isn't it?","",""
"いつもにも増して混んでいたね。","It is even more crowded than usual.","",""
"仮のタイトル","tentative title","working title",""
"proposal とsuggestionの違い","プロポーザルは軽い提案、サジェスチョンは正式な提案","",""
"これ以上同意できない","I couldn't agree more.","",""
"料理をみて、まだ火が通ってないような味がする","It tastes undercooked.","",""
"3つ目の交差点の手前です。","It's just before the third intersection.","",""
"貴重品をロッカーにあずけますか？","Would you like to deposit your valuables in the locker?","",""
"どこにいってたの？","Where have you been?","",""
"栗、マロンじゃない","chestnut","",""
"不労所得があればなー。車の頭金が払えない","I wish I had passive income.","I can't pay the down payment on the car.",""
"コーヒーのむって言われたら、よろこんでって言うとき","I'd love to.","I'd be happy to.",""
"ここは、ホッキョクグマの生息域です","This is a habitat of polar bears.","",""
"桜が満開ですね","Cherry blossoms are in full bloom.","",""
"ここに座ってからもう４５分も経ってます","It has been 45 minutes since I sat down here.","",""
"注文は以上です","That'll do for now.","That's all for now.",""
"人生は短く、予測不可能。","Life is short and unpredictable.","",""
"最近、濃厚なチーズを使った料理づくりにはまっています。","Lately, I am into cooking with rich cheese.","",""
"同窓会を開こう！","Let's have a class reunion.","",""
"ヘンリーはこのクラスで２番目に背が高い生徒です","Henry is the second tallest student in this class.","",""
"警察は公園で捨てられた子どもを見つけた。","The police found an abandoned child in the park.","",""
"ちょい風邪気味です。","I have a slight cold.","I'm coming down with a cold.",""
"お店で、何人ですか？３人です。","We are three.","A table for three, please.",""
"もうこれ以上待てません。始めましょう。","I can't wait any longer. Let's get started.","",""
"彼女は今日くるかなー","I wonder if she's coming today.","",""
"不良品","faulty product","defective product","damaged product"
"次の「国政選挙」は「有望な」野党に投票する","I'm gonna vote for a promising opposition party in the next national election.","",""
"それは見ためより大変よ。それは話より簡単よ。","It is harder than it looks. It is easier than it sounds.","",""
"彼の話は、反論の余地がない","What he says leaves no room for objection.","What he says is irrefutable.",""
"見積について妥当だと思いますというとき","Sounds fair enough.","That seems reasonable.",""
"雨がふったらどうする？","What if it rains?","",""
"事故の原因が彼の証言によって明らかになった。","The cause of the accident became clear from his testimony.","",""
"ショッピングモールなどに初めて来て、""ちょっといろいろ見て回ろう！""","Let's look around a bit!","",""
"8時間おきに3錠のんでください。","Take three tablets once every eight hours.","",""
"それは問題外です。故障中です。","That's out of the question.","Out of order.",""
"なんでかわからんけど、同僚が「いつも」マウントとろうとしてくる","I don't know why, but my colleague is constantly trying to one-up me.","",""
"既読スルーしないで、未読スルー","Don't leave me on read.","leave me on unread",""
"さすが！よく知ってるね！","I'm impressed!","You know everything!",""
"終わったら言います。","I'll let you know when I'm done.","",""
"めまいがします。ふらふらします。","I feel dizzy.","I feel lightheaded.",""
"彼は陽気で、楽観的で、元気にあふれています","He is cheery and full of energy.","He is cheerful, optimistic, and full of energy.",""
"私は占いを信じません","I don't believe in fortune telling.","",""
"彼女はしっかりしている、彼女はちょっとおもしろみがない、つまり普通","She is very together.","She is a bit vanilla.",""
"かみきった？とてもにあうよ","Did you get a haircut? It looks great on you.","",""
"ベッドに入った直後にネタ","I fell asleep as soon as I got into bed.","",""
"賞味期限はいつですか","When is the expiration date?","",""
"ピラミッドは時を超えた美しさがある","I feel the timeless beauty of the pyramids.","",""
"３時間残業した。最近過労気味です。","I did overtime for 3 hours today. I've been feeling overworked a bit lately.","",""
"急に立ち上がるとめまいがします　最近忙しい？","Lately, I feel dizzy when I stand up quickly.","Have you been busy lately?",""
"もう12月だなんて信じられません。","I can't believe it's already December.","",""
"こっちきて冷たいビール飲まない？　できればそうしたいけど結構です。","Come over here and have some cold beer.","I wish I could, but no thanks.",""
"彼女に拒否されました。","She said no.","She turned me down.",""
"私は失うものはない、なんでもできる！","I think I have nothing to lose, I can do anything I want to do.","",""
"締め切りにまにあう、しめきりを延長する、契約を延長する、ビジネスを海外に拡大する","meet the deadline, extend the deadline, extend the contract, expand the business overseas","",""
"もうすぐ終わる","I'm almost done.","",""
"彼のインスタ投稿は議論を呼んでいる","His post on Instagram is controversial.","His Instagram post is sparking debate.",""
"信頼性に懸念がある","I am concerned about its reliability.","",""
"彼は彼女をなぐる。彼は彼女を口説く","He hits her. He hits on her.","",""
"彼はテニスで私に恥をかかせた。","He embarrassed me in tennis.","",""
"加藤茶は、めちゃ年下と付き合う人","Kato-cha is a cradle snatcher.","",""
"盗難、窃盗犯、強盗、強盗犯、盗まれたもの、泥棒は家に簡単に侵入した。彼が怪しい","theft, thief, robbery, robber, stolen items. The thief broke into the house easily. He looks suspicious.","",""
"あなたは英語の勉強ほんとうにやるきあるの？","Do you really set your mind to studying English?","Are you really serious about studying English?",""
"めちゃ同意します","I totally agree with you.","I couldn't agree more.",""
"知ってのとおり、彼はいつも間に合う(または、いつも時間通り)","You know, he is always in time.","You know, he is always on time.",""
"私たちは日本中に代理店が３０店舗あります。","We have 30 agencies across Japan.","We have 30 agencies throughout Japan.",""
"私は、期待してるよ。","I'm counting on you.","",""
"彼の言うことはいつも一貫性がない(一貫性がある)","What he says is always inconsistent.","What he says is always consistent.",""
"英語を話す時、日本語イントネーションを強調してしまう。","I can't help emphasizing Japanese intonation when I speak English.","",""
"丁寧な言い方で、ひとことで、かしこまりました。","Certainly.","",""
"それはちょっと矛盾してると思うけど！","I would say that's a little contradictory!","",""
"ちゃんと座りなさい！","Sit down straight.","Sit up straight.",""
"いちぬけた！","I'm out.","Count me out.",""
"すみませんが間違えて電話を切ってしまいました。","I'm afraid I hung up the phone by mistake.","",""
"奇数(偶数)にかけます。","I'll bet odd/even.","",""
"それは、次のとおり要約されます。","It is summarized as follows.","",""
"さらに説明したいのですが。フォーマルとカジュアル。","I would like to explain further.","Let me explain more.",""
"いい調子だね！","You're on a roll.","You're doing great!",""
"鏡にうつった自分をみる。","I look in the mirror.","I look at myself in the mirror.",""
"仮のタイトルは、あああです。","The tentative title is aaa.","",""
"大きくなったねー。成長したねー。","Wow, you've grown!","You've gotten so big!",""
"そこにいるついでにコーヒー買ってきて。","Could you pick up a cup of coffee for me while you are there?","",""
"突然そのカップルは俺の前で喧嘩はじめた。めっちゃきまずかった","Suddenly, the couple began to argue in front of me. That was super-awkward!","",""
"あなたの説明は抽象的すぎる。具体的にいって、具体的に説明して、具体的に考えて","Your explanation is too abstract. Please be more specific.","",""
"論外です！","That's out of the question.","Absolutely not.",""
"急がなくていいよ","There's no rush.","Take your time.",""
"ボスはいつも僕を見下した喋り方をする","My boss always talks down to me.","",""
"スープは見た目よりかなりうまかった。","The soup tasted much better than it looked.","",""
"ついに妻が妊娠した。でも、残念ながら、別の男が妊娠させたことがわかった。","My wife finally got pregnant. But unfortunately, I found out another guy made her pregnant.","",""
"スポーツなどで、その調子だ！ってさけぶとき","Way to go!","That's the way!",""
"わさび","horseradish","wasabi",""
"だいたいいくらですか？","About how much?","Roughly how much?",""
"無理なお願いをしてる？","Am I asking too much?","",""
"その話はおいておいて、とにかく、大企業では目立つことができない","Let's put it aside. Anyway, I can't stand out at a large company.","",""
"かれはめんどくさい、手続きはめんどくさい","He is a pain in the neck. The procedure is a hassle.","",""
"犬はかわいいし忠実だよね","Dogs are cute and loyal.","",""
"明日の会議のためにパワポのスライドを準備しています。","I am preparing the PowerPoint slides for tomorrow's meeting.","",""
"家のまわりを散歩しているとき、しばしばすばらしいビジネスアイデアを思い付く","I often come up with a great business idea while I take a walk around the house.","",""
"ポジティブでいることが幸せな人生のコツです。","Being positive is the key to a happy life.","",""
"あったかいうちに食べてください","Please have it while it's warm.","Please eat it while it's hot.",""
"従来の考えをすてる","abandon conventional thinking","",""
"試食したあとに、からいです。控えてつくることできますか？","It is too spicy for me. Can you make it mild?","It is too spicy. Could you make it less spicy?",""
"立て替えてくれますか？","Can you spot me?","Could you cover me for now?",""
"英語を話すのに慣れた。慣れるのに半年かかった","I got used to speaking English. It took 6 months to get used to it.","",""
"あいまいにしないで！","Don't be vague.","",""
"シャドウイングはスピーキングに効果的なんで、毎日少なくとも３０分やってます","Shadowing would be effective at improving my speaking skill, so I do shadowing at least 30 minutes a day.","",""
"これは、どこ製ですか？","Where was this made?","",""
"知るわけないでしょ！ 誰も知らないよそんなこと","How should I know?","Who knows?",""
"彼がくどいてくるけど、ちょっと演技くさい","He is hitting on me, but he is a bit cheesy.","",""
"ころぶ、よこになる","fall down, lie down","",""
"会計は別々でいいですか？","Can we have separate checks, please?","Can we split the bill?",""
"こんなはずではなかった。","It wasn't supposed to be like this.","",""
"私の手に負えません。２つ。","It's beyond me.","It's out of my hands.",""
"母は娘がスマホで何をみているか監視している.","Her mother monitors what she watches on her smartphone.","",""
"正直に話したことが実った、裏目に出た","Being honest paid off.","Being honest backfired.",""
"パスポートを再発行してください。発行してください。","Please reissue my passport.","Please issue my passport.",""
"うれしそうだねなんかあった？といわれたとき、わかる～？っていう慣用句","Can you tell?","Is it that obvious?",""
"控えめに自分の考えをいうとき。彼女は３０代前半かな。32ぐらい？","I'd say she is in her early 30's. Maybe 32?","",""
"わざわざ来てくれてありがとう。","Thank you for coming all the way here.","",""
"人気のボーイバンド嵐が来春、解散する","Popular boy band Arashi will disband next spring.","",""
"リスクをとる余裕がない","I can't afford to take the risk.","",""
"桜の季節はもうすぐです","The cherry blossom season is just around the corner!","",""
"曇ってきたね。雨になりそうだ。","It's getting cloudy. It's gonna rain.","It's clouding over. It looks like rain.",""
"私はマックを食べる習慣がない","I don't usually eat at McDonald's.","",""
"落ち着いた色と派手な色","quiet colors","loud colors",""
"どれぐらいまちますか？","How long is the wait?","",""
"解約料金はかかりますか？","Do you charge any cancellation fee?","Is there a cancellation fee?",""
"チャンネルをかえていい？","Can I switch channels?","",""
"彼女は自身のビジネスを始めるという大胆な決断をした。","She made a bold decision to start her own business.","",""
"賞味期限はいつですか？","When is the expiration date?","",""
"ほめられたときに、軽く謙遜しながら、「たまにはおれもやるんだよ。」","Well, I have my moments.","",""
"悪気はないけど、という前置き","No offense,","",""
"いつものように春休み１０日とるの？状況次第だね。","Would you take 10 days off for spring break as usual? It depends.","",""
"犠牲者の身元が判明した","The victim has been identified.","",""
"場を盛り下げてわるいけど、寝る時間だよ","I hate to kill the mood, but it's time to go to bed.","",""
"カフェのオーダーで、同じものください。　この曲好き、私も","The same for me!","Same here.",""
"彼はいつものように遅刻です、頻度をあげて２パターン","He is late as usual.","He is late as always.",""
"あなたの会社はうちの子会社だ。つまり、うちの会社はあなたの親会社だ。","Your company is a subsidiary of our company. It means our company is a parent company of your company.","",""
"彼は、時間を守る人です。","He is punctual.","",""
"気分転換にボーリングいこうよ","Let's go bowling for a change.","",""
"今週はスケジュールが詰まっている。","My schedule is full this week.","My schedule is packed this week.",""
"一年を英語の勉強にささげた","I dedicated one year to studying English.","",""
"水とかお茶とか。スタッフを雇った","water, tea, and stuff","I fired the staff.",""
"そこにはどうやって行けばいいのですか？","How can I get there?","",""
"少しでも早い方がいい。","The sooner the better.","",""
"言いたくはありませんが、予算を増やすのは無理です","I hate to say this, but it's impossible to increase the budget.","",""
"９連休もらった","I got 9 consecutive days off.","",""
"あめがふりそうですね。","It looks like it's gonna rain.","It looks like rain.",""
"あなたは彼の忠告を真剣に受け止めるべきです。","You should take his advice seriously.","",""
"そのねずみを家から追い払うことができた","I was able to get the mouse out of the house.","",""
"日本は単一民族国家だから、私たちは「ちゃんと」多様性というものを理解していない","You know Japan is a homogeneous society, so we don't properly understand what diversity is.","",""
"彼は酔っぱらって昨晩夜おそくかえった。","He got drunk and went home late last night.","",""
"私たちはキャンプで絆が深まった","We built strong bonds at the camp.","We bonded at the camp.",""
"この映画は見る価値がある、広島は訪れる価値がある","This movie is worth watching.","Hiroshima is worth visiting.",""
"バスタブにつかる","soak in the tub","",""
"コンフォートゾーンを出ることは彼らにとって重要ですよね？","It is important to leave their comfort zone, isn't it?","",""
"洋服の決まりはありますか？","Do you have a dress code?","",""
"今夜寿司たべにいこうや。生魚食えんのよ。そうか、じゃあラーメンは？","Let's go out for sushi tonight. Actually, I don't like eating raw fish so much. Fair enough, how about ramen?","",""
"そんなことしちゃだめ、面倒なことになるよ。かあちゃん怒るよ","Don't do that. You'll get into trouble. Your mom will get angry at you.","",""
"間違って女性用トイレにはいった。一人の女性がさけびながら、気持ち悪いオタク！といった","I entered the women's bathroom by mistake. One woman screamed, ""Creepy nerd!""","",""
"彼は有能です。","He is capable.","He is competent.",""
"最近どう？最高です。最悪です。","How's it going lately? Couldn't be better. Couldn't be worse.","",""
"正しいと思うことをやるべきです。","You should do what you think is right.","",""
"物価は顕著に上昇した","The cost of living went up significantly.","",""
"何か書くものを貸してください。","Can I have something to write with?","",""
"天気に関わらずキャンプにいく。彼は値段に関わらずそれを買いたがった。","I will go camping regardless of the weather. He wanted to buy the car regardless of its price.","",""
"彼はその実験でモルモットにされた。彼はうちの会社を訴えるだろう。","He was used as a human guinea pig in the experiment. He will sue our company.","",""
"いったいなにがおこってるの？よく使うフレーズ","I don't know what's going on.","What on earth is going on?",""
"喧嘩は円満に解決しました。","Our argument was settled peacefully.","",""
"会議は１０時からってきいた。　９時前にここに来るように言われた.あなたが就職したってみゆきから聞いた。","I was told the meeting is at 10. I was told to be here before nine. I heard from Miyuki that you got a new job.","",""
"時間がないんです","I have no time to spare.","I'm short on time.",""
"我々は、世界３０ヶ国に製品を輸出しています。","We are exporting products to thirty countries around the world.","",""
"彼の作品はなかなかのものです。","His works are quite something.","",""
"ぜんぶたべなさい","Eat it all up.","Finish your food.",""
"誤解しないでください　私を怒らせないで。","Don't get me wrong.","Don't get me angry.",""
"彼は成績が良いのできっと奨学金をもらえるでしょう。","His grades are so good that he will win a scholarship.","",""
"トランプ政権","Trump administration","",""
"ファッションセンスがいいですね。ひとまとめ","You have a sense of style.","You have great fashion sense.",""
"彼は努力より結果を重視している","He cares about results more than effort.","He values results over effort.",""
"それでこそあなただ","That's just like you.","That's so you.",""
"この料金は何ですか？","What's this charge for?","",""
"3時にニューヨークにいるはずだったのに！","I was supposed to be in New York at 3pm.","",""
"この業界で共存しましょう","Let's coexist in this industry.","",""
"顔認証","facial recognition","",""
"その展覧会の入場料は大人 １人 １，０００円です。","The admission for the exhibition is 1,000 yen per adult.","",""
"先生は毎朝出欠をとる","The teacher takes attendance every morning.","",""
"床を拭いて！　牛乳をふきとって！","Wipe the floor! Wipe up the milk!","",""
"閉め出された","I was locked out.","",""
"来週、大きなイベントが開催される。その準備で忙しい。もういっぱいいっぱいです。","A big event will be held next week. I am pretty busy preparing for that. I'm swamped.","",""
"熱いと冷たいは、対義語です。類義語です","Hot and cold are antonyms.","Hot and cold are synonyms.",""
"われわれは、誕生パーティーに集まる。","We get together for a birthday party.","",""
"あやうく忘れるところだった","I almost forgot.","",""
"介護は大変な仕事です。","Caregiving is a tough job.","",""
"(みれば)わかるよ！察することができるときの慣用句","I can tell.","",""
"そんな高い入場料払えない、乗り物料金","I can't pay such an expensive admission fee.","I can't pay such an expensive fare.",""
"ひと晩考えさせて。よく考えるよ。","Let me sleep on it.","I will think it over.",""
"要点を言ってくれ！","Get to the point.","Cut to the chase!",""
"失敗は成功のもと","Every failure is a stepping stone to success.","Failure is the mother of success.",""
"この仕事に「本当に」うんざりしている。２つの表現。","I'm really fed up with this job.","I'm sick of this job.",""
"何のシミだろう。。。","I wonder what kind of stain it is.","",""
"質問をしない人々を騙すのは簡単だ。","It's easy to deceive people who don't ask questions.","",""
"まって、かみをセットする。","Hold on, I need to do my hair.","",""
"彼のファッションはダサい","His fashion is out of style.","His sense of style is outdated.",""
"ひとりぐらしがなつかしい","I miss living alone.","",""
"これは私のクセなんです。","This is just my habit.","",""
"サーチの使い方","search for = look for","search the house for the key = カギを求めて家の中を探し回る",""
"おおきいこえではなして、小さい声ではなして","Could you speak louder?","Could you speak more quietly?",""
"私たちは固定概念を捨てないといけない","We need to think outside the box.","",""
"一目ぼれしちゃった。","I fell in love at first sight.","",""
"きいたはなしを、、、いいアイデア、問題だね、たのしんだようだね、いそがしそうだね","It sounds like a great idea, a problem, you had a great time, you are busy.","",""
"私のクラスメイトの大半は、留学をしたがっています","Most of the students in my class want to study abroad.","",""
"パソコンを起動する、再起動する","boot up the computer, reboot the computer","",""
"それはつらかったね、そうでもないよ","That's been tough.","Not really.",""
"まじか～～～！","What the heck!","No way!",""
"彼を待つ余裕がなかった。その本を買う余裕がない","We couldn't afford to wait for him. I can't afford to buy the book.","",""
"利益を出さないといけない","We need to make a profit.","",""
"私は、彼との思い出を大切にしている","I cherish my memories with him.","",""
"父が認知症になりはじめたことに気づいた。早急に医者につれていった。","I noticed that my father began to have dementia, so I let him see a doctor immediately.","",""
"あの獣医はいいの？率直な意見を教えて","Is that vet good? I'd like to hear your frank opinion.","Is that vet good? I'd like your honest opinion.",""
"そんな意味じゃないです","I didn't mean it that way.","That's not what I meant.",""
"電話をとる、でんわをきる","pick up the phone, hang up the phone","",""
"目薬、シリコンバレー","eye drops, Silicon Valley","",""
"妥当だね！","Fair enough.","That's reasonable.",""
"ごめんいかなきゃ、あとではなそう","Sorry, I gotta go. Talk later.","",""
"欠陥率を下げろ！","Reduce defect rates!","",""
"なにかあった？落ち込んでるようにみえるね。　lookとlook likeの違い","What's the matter with you? You look depressed.","",""
"レストランでメニューをみながら、もう少しお時間もらえますか？","Can we get another minute, please?","",""
"どんな症状ですか？","What kind of symptoms do you have?","",""
"気づかなかった","I didn't notice that.","",""
"まあ、いっか。そういうもんだいね","Oh well, it happens.","",""
"それは素晴らしいアイデアだねgreat 以外を使う","That's a brilliant idea.","That's a fantastic idea.",""
"私は熟睡しました","I slept like a log.","I slept like a baby.",""
"この仕事は彼には荷が重すぎる。","This task is beyond him.","This job is too much for him.",""
"私はその仕事を引き受けたので、その件は私が担当です。つまり私に責任があります。","I took on the work. So I am in charge of the case. It means I am responsible for the case.","",""
